flute-eharmin-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,329.627557,E4+0.0,E4+0.0,7\12 0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,369.994422,F#4+0.0,F#4+0.0,9\12 -0.0%, T 123 | -5- Eb,73782_0_0_|_0.0:0.0_0.0:0.0,
note,391.995435,G4+0.0,G4+0.0,10\12 -0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,A4+0.0,A4+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,B4+0.0,B4+0.0,2\12 -0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,C5+0.0,C5+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,622.253967,Eb5+0.0,Eb5+0.0,6\12 -0.0%, T -23 | 456 Eb,108594_0_0_|_0.0:0.0_0.0:0.0,
note,659.255113,E5+0.0,E5+0.0,7\12 -0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,739.988845,F#5+0.0,F#5+0.0,9\12 -0.0%, T 123 | -5- Eb,73782_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,G5+0.0,G5+0.0,10\12 0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,879.999999,A5+0.0,A5+0.0,0\12 -0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,987.766601,B5+0.0,B5+0.0,2\12 -0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507935,Eb6+0.0,Eb6+0.0,6\12 0.0%, T 123 G# | 456 Eb,108662_0_0_|_0.0:0.0_0.0:0.0,
note,1318.510228,E6+0.0,E6+0.0,7\12 0.0%, T 12- | 45- Eb,75798_0_0_|_0.0:0.0_0.0:0.0,
